日子就像喝茶一样，只会苦一阵子，不会苦一辈子。,《嫌疑人x的献身》
自以为是永远都是大敌，因为本可看到的东西也会视而不见。,《嫌疑人x的献身》
人前一杯酒，各自饮完。人后一片海，独自上岸。,《摆渡人》
十年太长，什么都有可能改变；一辈子太短，一件事都有可能做不完：回忆永远站在背后，你无法抛弃，只能拥抱。,《摆渡人》
我有一杯酒，敬给这一场大梦，相见时不远万里，分别时各奔东西。,《摆渡人》
人生就像一盒巧克力，你永远不知道会尝到哪种滋味。,《阿甘正传》
“你以后想成为什么样的人？”“什么意思，难道我以后就不能成为我自己了吗？”,《阿甘正传》
我不觉得人的心智成熟是越来越宽容涵盖，什么都可以接受。相反，我觉得那应该是一个逐渐剔除的过程，知道自己最重要的是什么，知道不重要的东西是什么。而后，做一个简单的人。,《阿甘正传》
一个人真正需要的财富就那么一点点，其余的都是用来炫耀的。,《阿甘正传》
当你最认为困难的时候，其实就是你最接近成功的时候。,《当幸福来敲门》
如果你有梦想的话，就要去捍卫它！那些一事无成的人，才会告诉你你也成不了大器。,《当幸福来敲门》
不疯魔，不成活！,《霸王别姬》
人，得自个儿成全自个儿。要想人前显贵，必得人后受罪！,《霸王别姬》
说好一辈子就是一辈子，差一年，差一个月，差一个时辰，差一秒都不是一辈子。,《霸王别姬》
大家都一样，天天的合，天天的分，到了曲终人散，只偶尔的，相互记起。其它辰光，因为事忙，谁也不把谁放在心上。,《霸王别姬》
当你一无所有，你没有什么可以失去。,《泰坦尼克号》
一个人一生可能会爱上很多人，等你真正获得属于你的幸福之后，你就会明白，以前的伤痛其实是一种财富，它让你更好地把握和珍惜你爱的人。,《泰坦尼克号》
我觉得生命是一份礼物，我不想浪费它，你不会知道下一手牌会是什么，要学会接受生活。,《泰坦尼克号》
做出决定并不困难，困难的是接受决定。,《泰坦尼克号》
最孤独的人最亲切，最难过的人笑的最灿烂，因为他们不愿让身边的人承受一样的痛苦。,《素媛》
没有过不去的事，只有过去的故事。,《素媛》
太理所当然的幸福让我们麻木，进而使我们错误地认为它已经消失了，但其实幸福一直都在。,《素媛》
一件善举，并不能补偿一个人作恶一世犯下的罪行。,《加勒比海盗》
生命的意义远不止是生存，真正的技巧在于学会永远靠自己生活。,《加勒比海盗》
赌注才是生活，意外才是人生，冒险才是真理。,《加勒比海盗》
骄傲多半不外乎我们对我们自己的估价，虚荣却牵涉到我们希望别人对我们的看法。,《傲慢与偏见》
连年怨阔别，一朝喜相逢。,《傲慢与偏见》
"偏见让我无法去爱别人,傲慢让别人无法来爱我。",《傲慢与偏见》
人生就像是一块拼图，认识一个人越久越深，这幅图就越完整。但它始终无法看到全部，因为每一个人都是一个谜，没必要一定看透，却总也看不完。,《城南旧事》
走人生的路程就像爬山一样，看起来走了许多冤枉的路，崎岖的路，但最终会到达山顶。,《城南旧事》
老师教给我，要学骆驼，沉得住气的动物。看它从不着急，慢慢地走，慢慢地嚼，总会走到的，总会吃饱的。,《城南旧事》
“别忘了，你们是星星。当群星几亿年前在宇宙间爆炸时，形成了这世界上的一切。我们所知道的一切都是星尘。”,《爱在黎明破晓前》
“不知道从什么时候开始，在每一个东西上面都有个日子，秋刀鱼会过期，肉酱也会过期，连保鲜纸都会过期。我开始怀疑，在这个世界上，还有什么东西是不会过期的？”,《重庆森林》
“当我决定和你度过下半辈子时，我希望我的下半生赶快开始。”,《当哈利遇见莎莉》
“发生过的事是不会忘记的，只是想不起来而已。”,《千与千寻》
“看，前面漆黑一片，什么也看不到。”,
“你好吗。”“我很好。”,《情书》
“你甚至还不认识我”“我有一辈子可以认识你”,《大鱼》
